emp_no,first_name,last_name,title,from_date,to_date
11300,Lillian,Fontet,Engineer,1992-09-10,1996-12-20
11302,Shem,Senzako,Staff,1991-07-01,1993-01-29
11315,Neven,Meriste,Staff,2000-01-18,2002-01-17
11372,Susanta,Vilarrasa,Senior Staff,1993-05-14,2000-05-04
11387,Jordanka,Kalloufi,Engineer,1997-05-11,1997-12-13
11414,Eishiro,Pearson,Senior Staff,1996-01-03,1997-10-06
11428,Remco,Reinhart,Engineer,1994-07-31,1998-07-04
11431,Youngkon,Picht,Senior Staff,1991-09-16,2001-03-03
11461,Kish,Cronau,Senior Engineer,1992-08-18,1997-07-20
11468,Navin,Maksimenko,Staff,1996-03-19,1997-04-07
11477,Fox,Narahari,Engineer,1996-07-28,1996-09-12
11501,Karsten,Ranum,Senior Staff,1999-10-24,2002-03-20
11521,Eldridge,Eastman,Staff,1995-10-17,2000-06-08
11526,Tonny,Impagliazzo,Senior Staff,1998-02-22,1998-11-28
11562,Rimli,Alencar,Engineer,1988-06-30,1994-12-13
11578,Edwin,Rosti,Senior Engineer,1991-11-22,2002-02-17
11588,Kaijung,Panangaden,Senior Staff,1994-12-24,1995-06-12
11597,Yongdong,Talmon,Senior Engineer,1990-02-01,1998-12-07
11636,Fumitaka,Shiratori,Engineer,1992-11-16,1998-01-01
11686,Nadjib,Srimani,Senior Staff,2000-04-20,2000-07-22
11705,Arve,Hofmeyr,Senior Staff,1990-10-30,1994-06-30
11708,Chenye,Angot,Staff,1992-09-18,1996-07-28
11738,Tadahiro,Lichtman,Senior Engineer,1992-06-18,1995-06-27
11747,Aksel,Kossowski,Senior Staff,1993-02-20,1999-01-16
11755,Zhenbing,Karner,Senior Staff,1996-12-04,2002-01-08
11805,Rosine,Grandbois,Assistant Engineer,1985-09-01,1991-02-05
11813,Gita,Muhlberg,Staff,1987-03-16,1991-07-20
11814,Manohar,Shinomoto,Staff,1996-06-09,1998-10-24
11821,Mary,Piazza,Senior Engineer,1995-12-13,2001-10-26
11838,Taiji,Nitta,Staff,1986-07-11,1991-05-09
11847,Tzvetan,Brandsma,Senior Engineer,1996-01-13,1999-05-23
11877,Heng,Sudkamp,Senior Staff,1995-09-17,1999-06-09
11883,Nectarios,Bhattacharjee,Engineer,1988-04-16,1990-10-28
11939,Chinhyun,Basart,Technique Leader,1992-08-14,1993-10-29
11987,Vidya,Schaar,Senior Staff,1994-10-17,1997-12-04
11988,Chinya,Chinin,Senior Engineer,1990-11-03,2001-12-31
11997,Heon,Mawatari,Staff,1999-02-21,1999-08-06
12008,Frederique,Zykh,Engineer,1991-08-07,1993-03-24
12025,Jaewoo,Heiserman,Staff,1985-02-28,1990-06-09
12033,Visit,Serot,Engineer,1997-11-30,1999-02-07
12052,Masako,Khasidashvili,Technique Leader,1986-04-07,1988-08-29
12055,Rutger,Kilgore,Staff,1990-06-22,1995-06-16
12077,Steve,Hutton,Senior Engineer,1999-01-30,2000-08-18
12087,Weijing,Jumpertz,Engineer,1986-08-16,1993-03-24
12095,Fai,Smeets,Senior Engineer,1995-04-04,2001-11-07
12103,Becky,Erie,Staff,1990-04-23,1992-09-18
12104,Dulce,Kohling,Senior Engineer,1997-06-12,2002-02-08
12128,Yannik,Barreiro,Staff,1997-08-16,1998-11-25
12148,Hidde,Garigliano,Assistant Engineer,1997-06-24,1997-11-21
12173,Adel,Nanard,Senior Engineer,1998-09-20,2000-05-20
12254,Chaitali,Stafford,Engineer,1988-12-23,1989-10-31
12274,Garnik,Papadias,Engineer,1988-04-01,1989-01-18
12276,Yongmin,Lenart,Senior Engineer,2001-06-13,2001-09-25
12303,Godehard,Braccini,Senior Staff,1988-06-13,1988-07-19
12312,Chenye,Velasco,Engineer,1994-11-24,1996-12-18
12335,Arnould,Genin,Senior Staff,1995-12-01,2000-06-19
12345,Xuedong,Mellouli,Senior Engineer,1997-07-09,2002-03-09
12351,Gennady,Zizka,Engineer,1997-08-26,1999-02-16
12366,Patricio,Setlzner,Staff,1994-07-16,2000-01-20
12380,Menkae,Farrow,Staff,1991-09-03,1991-09-15
12407,Jianwen,Brodie,Engineer,1993-12-03,1999-09-13
12415,Uri,Sluis,Staff,1994-10-17,1998-10-10
12451,Pramod,Marzano,Senior Engineer,1991-11-26,1995-03-18
12470,Khue,Hinsberger,Engineer,1996-02-29,1998-06-22
12478,Yahiko,Hopewell,Senior Staff,1997-07-05,1998-12-11
12482,Chandrasekaran,Rijckaert,Senior Engineer,2001-08-12,2001-10-17
12493,Filipp,Menhardt,Senior Engineer,1988-08-08,1988-12-04
12505,Barton,Goldhammer,Senior Staff,1999-08-24,2002-02-18
12552,Mechthild,Zongker,Staff,1998-08-22,2000-08-15
12568,Marlo,Boyle,Engineer,1997-04-15,2001-08-12
12637,Poorav,Karner,Senior Staff,1995-11-02,1999-01-08
12665,Amalendu,Lanphier,Staff,1995-06-01,1997-12-14
12678,Carrsten,Borovoy,Engineer,1999-06-26,2000-04-22
12694,Kazuhira,Luders,Engineer,1995-12-01,1998-05-30
12721,Sajjan,Szilard,Engineer,1994-08-20,2000-12-19
12730,Barry,Perl,Technique Leader,1993-07-24,1998-03-24
12758,Hauke,Pashtan,Staff,1999-11-19,2002-02-20
12759,LiMin,Kuszyk,Senior Staff,1987-05-31,1996-01-02
12768,Mingdong,Stiles,Engineer,1990-05-09,1992-05-30
12775,Mariangiola,Berendt,Engineer,1999-02-24,2002-04-05
12814,Jaques,Kohling,Technique Leader,1998-06-07,1998-11-24
12816,Freyja,Ramras,Senior Engineer,1992-04-18,1999-09-08
12825,Sakthirel,Cannata,Senior Engineer,1992-08-25,1998-01-16
12831,Maris,Baja,Engineer,1996-08-13,2002-05-30
12846,Krisda,Cyne,Senior Staff,2000-10-15,2001-01-15
12853,Mang,Brobst,Senior Staff,1993-01-04,1996-10-03
12871,Shay,Zockler,Staff,1992-10-15,1993-09-10
12876,Apostol,Goodrum,Engineer,1999-09-01,2000-12-24
12888,Martien,Erni,Senior Staff,1992-05-06,1995-04-07
12922,Jacqueline,Porenta,Senior Staff,1985-11-20,1993-09-16
12937,Arup,Cincotta,Staff,1991-10-27,1992-12-14
12951,Mohammad,Keirsey,Senior Staff,1987-09-17,1994-07-27
12972,Juyoung,Azevdeo,Staff,1988-04-03,1990-08-07
12974,Gift,Frolund,Senior Staff,1994-10-24,1994-11-03
12981,Maren,Merro,Engineer,1995-02-01,1998-03-16
12984,Atilio,Krohm,Engineer,1993-05-03,1994-03-10
13012,Florina,Harbusch,Senior Engineer,1987-12-24,2002-05-24
13049,Fan,Naudin,Staff,1985-10-06,1986-01-08
13062,Xinglin,Baak,Technique Leader,1993-01-08,2000-05-31
13073,Utpal,Journel,Staff,1995-10-25,2001-05-17
13087,Gor,Ranft,Senior Engineer,1990-12-07,1998-07-22
13095,Khedija,Cochrane,Staff,1999-05-03,2000-01-06
13113,Kwun,Landherr,Staff,1993-01-16,1996-10-07
13149,Alejandro,Gill,Assistant Engineer,1992-11-05,1996-02-20
13197,Rosita,Litzler,Staff,1993-09-14,1995-07-31
13221,Premsyl,Famili,Senior Staff,1993-02-26,1998-10-21
13243,Fay,Huxford,Staff,1999-09-18,1999-11-11
13248,Keiichiro,Guting,Staff,1994-06-21,1998-07-22
13249,Oldrich,Rissland,Staff,1992-06-04,1997-09-24
13261,Martial,Peternell,Staff,1994-07-28,2000-10-12
13299,Guiseppe,Butner,Staff,1997-03-08,1998-09-13
13305,Bikash,Herath,Senior Staff,1994-07-17,1995-01-19
13321,Rasikan,Portugali,Engineer,1994-05-14,1994-08-05
13329,Ottavia,Rissland,Senior Staff,1996-02-18,2002-05-30
13359,Pragnesh,Kragelund,Senior Engineer,1999-05-29,2001-01-01
13436,Mana,Picaronny,Senior Staff,1994-09-20,1995-12-08
13446,Masato,Tramer,Engineer,1993-06-03,1995-04-18
13479,Youjian,Besselaar,Staff,1996-04-25,1996-09-17
13521,Jaewoo,Tasistro,Engineer,1988-12-16,1991-02-18
13560,Sibyl,Jeong,Engineer,1994-07-28,1998-03-12
13567,Sudhanshu,Pietracaprina,Senior Staff,1990-05-24,2002-04-01
13578,Tadahiko,Christianini,Technique Leader,1994-05-22,1997-04-13
13622,Tamiya,Juneja,Senior Staff,1996-09-06,1998-11-13
13630,Uzi,Kilgour,Engineer,1990-05-06,1996-04-03
13651,Stamatina,Plesums,Engineer,1987-09-02,1990-03-31
13660,Ziya,McConalogue,Staff,1998-02-18,2002-04-28
13684,Elvia,Christ,Senior Staff,1985-02-06,2002-03-30
13693,Godehard,Merkl,Engineer,1989-04-01,1994-08-09
13698,Domenico,Mitchem,Engineer,1991-03-19,1997-04-20
13747,Masaru,Capobianchi,Senior Staff,1987-03-06,1987-12-10
13768,Sedat,Lovengreen,Staff,1986-11-19,1990-09-18
13788,Takahira,Furedi,Assistant Engineer,1997-04-03,1997-04-12
13795,Mayuri,Gewali,Technique Leader,1986-08-04,1988-03-13
13801,Shih,Mayerwieser,Staff,1999-05-26,1999-06-25
13807,Lenore,Itzigehl,Staff,1993-03-24,1995-05-21
13832,Hidefumi,Siepmann,Staff,1993-10-06,1999-05-05
13840,Remco,Demke,Engineer,1998-12-12,1999-12-30
13883,Kwangyoen,Barreiro,Senior Engineer,1988-02-23,1991-08-26
13902,Greger,Kilgore,Staff,1999-08-03,2000-07-16
13909,Szabolcs,Leslie,Staff,1994-07-19,1995-09-08
13914,Serge,Albarhamtoshy,Senior Staff,1985-08-07,1989-01-15
13916,Vidya,Wynblatt,Senior Staff,1995-06-06,2002-01-12
13930,Sukumar,Chartres,Senior Staff,1992-11-26,2000-04-20
13979,Turgut,Highland,Senior Engineer,1995-06-08,1997-12-26
13986,Geraldo,Ramsey,Staff,1985-12-03,1989-01-19
13994,Tesuro,Remmele,Staff,1999-05-05,2000-07-15
13996,Adib,Pews,Staff,1999-12-23,2000-04-01
14045,Ymte,Alpin,Staff,1993-12-28,1997-08-12
14076,Erzsebet,Bratsberg,Engineer,1996-01-31,2002-06-15
14077,Wojceich,Standera,Engineer,1989-02-13,1990-09-14
14102,Feixiong,Jording,Engineer,1989-04-03,1991-02-21
14109,Vesna,Haldar,Senior Engineer,1999-12-12,2000-01-01
14113,Along,Herber,Engineer,1985-11-17,1988-01-24
14139,Sachin,Conry,Engineer,1995-01-07,1996-12-26
14197,Adin,Chachaty,Senior Staff,1993-01-20,2000-12-24
14224,Guther,Conta,Staff,1986-01-30,1986-10-23
14254,Chikara,Narahara,Engineer,1994-09-23,1996-11-14
14256,Gino,Ferriere,Assistant Engineer,1994-05-31,1995-05-31
14275,Tristan,Aseltine,Senior Staff,1999-06-30,2000-11-17
14279,Nevin,Schaaf,Senior Engineer,1989-03-22,1997-09-23
14287,Masali,Highland,Senior Staff,1998-06-04,1999-11-10
14289,Paraskevi,Gist,Assistant Engineer,1999-03-16,2001-05-09
14293,Qunsheng,Middleton,Senior Staff,1985-05-09,1990-09-12
14345,Barry,Ramsey,Engineer,1985-04-06,1990-07-15
14359,Henk,Leslie,Senior Staff,1998-05-25,1999-09-25
14380,Shigeu,Heemskerk,Senior Staff,1994-01-29,1997-01-20
14395,Berni,Brizzi,Engineer,1995-12-01,2000-12-09
14441,Divine,Manders,Engineer,1987-03-09,1990-05-25
14446,Francoise,Rosen,Senior Engineer,2000-01-08,2000-09-01
14491,Baoqiu,Picht,Engineer,1997-08-27,1997-12-28
14514,Fay,Denny,Senior Engineer,1988-08-17,1997-03-14
14533,Kensei,Borovoy,Senior Engineer,1998-04-18,1999-11-24
14539,Ashish,Danlos,Engineer,1998-12-17,1998-12-17
14641,Marsha,Farrow,Senior Engineer,1995-02-18,1995-10-03
14655,Jingling,Segond,Senior Staff,1995-06-03,2002-04-09
14656,Ziyad,Poupard,Engineer,1993-06-24,1993-12-06
14700,Ghassan,Taneja,Senior Staff,1992-02-28,1998-08-31
14713,Terresa,Ballarin,Technique Leader,1987-10-11,1999-06-02
14722,Sachin,Jakobus,Staff,1991-07-06,1999-05-04
14725,Vatsa,Waterhouse,Senior Engineer,1997-09-14,2002-02-18
14732,Heejo,Ohori,Senior Engineer,1998-03-25,2001-02-25
14751,Kazunori,Shackel,Senior Engineer,1990-03-24,1998-05-12
14753,Fuqing,Colorni,Staff,1997-12-04,1998-06-26
14759,Akeno,Valette,Senior Staff,1999-01-06,2001-11-11
14774,Gio,Sigstam,Staff,1998-07-19,2000-08-12
14778,Bernd,Trystram,Staff,1995-04-16,1996-01-08
14798,Souichi,Giveon,Engineer,1992-09-11,1996-04-04
14803,Faiza,Rodite,Senior Engineer,1995-07-21,1999-06-07
14806,Jaroslava,Perry,Engineer,1998-09-30,2000-01-23
14807,Miquel,Zweizig,Staff,1999-02-13,1999-02-14
14830,Tsz,Trachtenberg,Staff,1996-05-31,2001-01-12
14846,Magy,Joslin,Senior Engineer,1997-05-02,1997-05-27
14854,Angus,Perko,Senior Staff,1997-03-12,2001-06-16
14865,Ute,Serra,Senior Staff,1986-07-13,1999-03-11
14871,Arnd,Kaiserswerth,Staff,1996-03-28,1999-06-23
14880,Conrado,Michaeli,Senior Engineer,1998-01-30,2000-05-23
14889,Subhash,Solovay,Staff,1999-10-04,2001-11-10
14905,Karsten,Baja,Engineer,1987-09-14,1987-12-28
14933,Sergi,Tibblin,Staff,1994-08-08,1997-02-20
14936,Yuqun,Demian,Engineer,1997-08-05,2001-03-04
14947,Stafford,Wossner,Engineer,1997-03-18,2001-03-02
14955,Boguslaw,Kalefeld,Engineer,1994-02-03,1994-11-22
14957,Turgut,Munke,Staff,2000-01-18,2001-12-18
14959,Kerryn,Hiyoshi,Technique Leader,1995-10-23,2001-07-14
14966,Zhanqiu,Underwood,Staff,1996-04-06,1998-08-23
14982,Kaijung,Angelov,Engineer,1995-10-23,1997-05-28
14987,Tiina,Demeyer,Engineer,1998-07-30,2001-12-20
15024,Yurii,Rullman,Staff,1999-11-21,2000-12-10
15032,Kish,Zockler,Staff,1990-12-14,1997-06-22
15048,Werner,Senzako,Engineer,1992-10-15,1995-03-10
15113,Zhiguo,Giaccio,Staff,1988-09-23,1993-01-26
15133,Kagan,Malinowski,Engineer,1997-08-12,1998-01-04
15159,Mats,Parascandalo,Senior Staff,1991-10-05,1995-08-31
15166,Golgen,Oehlmann,Engineer,1994-11-26,1998-06-16
15187,Gill,Heusch,Engineer,1997-06-13,2000-01-21
15199,Heeju,Bernardinello,Senior Engineer,1992-10-05,2000-08-15
15200,Danco,Brickell,Engineer,1998-06-09,2000-03-19
15205,Cheong,Rodiger,Engineer,1993-04-12,1995-01-04
15233,Manohar,Lorho,Engineer,1994-12-11,1996-01-03
15252,Koichi,Skrikant,Technique Leader,1993-01-12,1996-10-14
15258,Guther,Karcich,Engineer,1999-04-11,1999-10-02
15274,Sadun,Alblas,Engineer,1993-01-30,1996-05-05
15278,Adam,Rohrbach,Staff,1987-10-29,1994-11-10
15295,Lobel,Peak,Engineer,1988-04-25,1995-11-09
15312,Deniz,Linnainmaa,Engineer,1996-09-13,1998-02-25
15334,Luerbio,Kuzuoka,Engineer,2000-01-31,2001-10-22
15356,Alair,Douceur,Engineer,2000-01-19,2002-04-18
15367,Mitsuyuki,Schoegge,Staff,1991-07-09,1992-10-21
15386,Genki,Sambasivam,Staff,1999-02-01,1999-06-18
15388,Heekeun,Spelt,Staff,1994-11-12,2000-05-04
15411,Seongbin,Morrin,Engineer,1997-02-28,1998-08-14
15424,Tremaine,Fontet,Engineer,1995-12-16,1997-06-25
15433,Shaowei,Peltason,Technique Leader,1993-11-20,1996-11-03
15439,Shuzo,Gide,Engineer,1999-10-31,2000-11-11
15445,Sachem,Auyong,Engineer,1996-12-30,2000-09-24
15463,Make,Gunderson,Engineer,1996-04-21,2000-05-07
15488,Reuven,Gimbel,Engineer,1993-04-04,1995-03-25
15539,Shigeichiro,Spieker,Senior Staff,1994-03-02,1996-07-17
15545,Masadi,Suri,Engineer,1985-09-10,1993-01-06
15560,Xiaoshan,Lakshmanan,Senior Engineer,1996-01-30,2001-02-17
15569,Rosalie,Garnick,Senior Staff,1997-07-04,1998-12-12
15610,Zhigen,Hebden,Assistant Engineer,1999-12-30,2001-11-25
15623,Vishu,Falby,Senior Engineer,1990-09-23,2000-02-08
15633,Mikhail,Matteis,Senior Staff,1997-06-06,1997-12-13
15641,Jaana,Roisin,Senior Staff,1998-04-07,2001-04-19
15653,Kiam,Nannarelli,Staff,1999-11-07,2000-08-01
15657,Masoud,Krybus,Senior Engineer,1994-08-31,1994-10-16
15666,Pintsang,Rothenberg,Assistant Engineer,1998-06-15,1999-06-11
15669,Bartek,Bael,Technique Leader,1991-05-21,1997-08-11
15675,Mountaz,Chinen,Engineer,1998-12-14,2000-12-08
15683,Shaunak,Hanratty,Engineer,1995-05-09,1996-04-21
15723,Gill,Basagni,Staff,1990-10-21,1994-01-05
15728,Jaewon,Nooteboom,Senior Staff,1992-05-29,2002-05-30
15747,Remmert,Waleschkowski,Engineer,1996-10-31,2000-07-02
15753,Sanjay,Breugel,Senior Engineer,2000-04-22,2002-05-02
15762,Kien,Impagliazzo,Staff,1991-02-05,1997-12-19
15770,Doowon,Ramsey,Engineer,1995-02-25,1998-05-23
15796,Kristin,Chappelet,Engineer,1998-10-02,2001-02-21
15839,Thodoros,Quaggetto,Senior Staff,1999-08-27,2002-02-16
15842,Miyeon,Weedon,Senior Engineer,1996-03-15,2000-01-09
15912,Piyawadee,Cichocki,Senior Staff,1993-06-07,1998-05-18
15920,Sanjit,Laurillard,Engineer,1988-10-04,1993-03-26
15939,Jiang,Lueh,Engineer,1999-12-22,2001-03-29
15946,Sham,Onuegbe,Technique Leader,1995-03-06,1997-12-03
15958,Fumino,Vidya,Staff,1992-08-04,1996-04-26
15964,Tooru,Bashian,Senior Staff,1997-10-20,1999-07-25
15970,Hercules,Molberg,Senior Engineer,1994-06-15,1998-10-14
16058,Honglan,Pettis,Staff,1992-01-07,1995-09-14
16072,Youpyo,Ginneken,Staff,1993-06-04,1995-04-29
16105,Alper,Tetzlaff,Senior Staff,1985-12-31,1996-05-08
16146,Cathie,Meriste,Senior Engineer,1994-02-19,1998-05-11
16151,Alenka,Axelband,Engineer,1996-05-13,1998-03-05
16164,Janche,Kinley,Senior Engineer,1995-01-02,2001-05-31
16203,Mori,Kulisch,Engineer,1990-10-16,1994-07-06
16212,Izaskun,Glinert,Engineer,1994-03-29,1995-05-23
16222,Shaz,Thummel,Engineer,1995-08-29,1997-01-11
16235,Otmar,Zockler,Engineer,1998-03-29,2001-11-28
16237,Slavian,Leaver,Senior Engineer,1993-05-14,1993-07-12
16242,Gonzalo,Pelz,Engineer,1990-12-18,1993-05-13
16255,Tomokazu,Ohori,Senior Engineer,1988-12-06,2001-03-23
16261,Tetsushi,Makrucki,Engineer,1991-03-27,1993-10-31
16277,Irena,Brodal,Engineer,1998-03-05,1999-12-02
16280,Henk,Peot,Senior Engineer,1993-05-03,2000-03-11
16287,Zhanqiu,Smeets,Assistant Engineer,1997-03-29,1997-11-03
16293,Chinhyun,Staylopatis,Senior Engineer,1998-01-31,1999-07-04
16295,Yuguang,Kisuki,Engineer,1997-01-23,1999-09-24
16302,Bedir,Speek,Engineer,1985-08-10,1988-12-06
16311,Chinhyun,Baik,Engineer,1992-10-17,1997-02-25
16314,Kamakshi,Ravishankar,Engineer,1996-03-22,1999-11-12
16331,Giap,Garnham,Senior Staff,1991-12-25,2000-12-27
16360,Sham,Jonsson,Senior Engineer,1995-10-10,1997-05-02
16373,Narain,Aseltine,Senior Staff,1994-11-13,1999-05-19
16381,Phuoc,Naumovich,Senior Engineer,1997-08-12,2000-10-29
16396,Guangming,Yoshimura,Senior Staff,1997-02-25,2000-04-15
16433,Werner,Chelton,Engineer,1992-01-15,1996-06-25
16439,Gao,Hainaut,Engineer,1997-06-15,1999-03-30
16463,Fuqing,Denna,Senior Staff,2000-01-14,2002-02-03
16478,Bedir,Wroclawski,Senior Staff,1994-09-27,1998-09-11
16500,Elvis,Servieres,Senior Staff,1992-07-15,2000-09-10
16529,Heon,Staudhammer,Staff,1992-05-17,1994-05-03
16531,Shounak,Ponthieu,Staff,1995-12-19,1996-06-17
16557,Fan,Majewski,Senior Engineer,1996-05-15,2002-03-20
16565,Petter,Ramsey,Engineer,1991-09-07,1992-06-06
16578,Krassimir,Luef,Engineer,1990-12-30,1992-01-20
16593,Tiina,Skafidas,Technique Leader,1999-11-22,2002-03-15
16608,Boguslaw,Greibach,Engineer,1988-05-24,1988-08-26
16631,Paddy,Kropf,Engineer,1995-09-27,1997-07-17
16662,Poorav,Hatcliff,Staff,1995-05-26,2000-03-17
16706,Gad,Krone,Senior Engineer,1995-07-13,1999-06-24
16733,Zijian,Serna,Engineer,1988-07-12,1989-08-13
16769,Khalid,Brickell,Staff,1996-02-19,1998-05-10
16789,Bluma,Salinas,Staff,1995-04-03,1997-01-08
16812,Ingemar,Erdmenger,Engineer,1990-01-17,1997-04-27
16832,Mads,Binkley,Senior Engineer,1991-02-26,1993-01-23
16858,Akeno,Gustavson,Senior Staff,1994-03-18,1995-08-09
16868,Gou,Vandervoorde,Staff,1989-09-18,1997-06-22
16885,Ronghao,Stentiford,Senior Staff,1995-04-12,1997-08-01
16929,Murthy,Burnard,Senior Engineer,1995-05-19,2000-08-12
16950,Mads,Gien,Engineer,1989-08-03,1989-10-09
16959,Mansur,Garnham,Senior Engineer,1995-11-01,1996-06-09
16962,Sastry,Kaiser,Engineer,1997-05-05,2000-02-01
16996,Shigenori,Millington,Staff,1996-02-05,2000-10-29
17047,Qingxiang,Rijsenbrij,Engineer,1987-12-07,1988-03-06
17056,Kwun,Luders,Senior Engineer,1998-04-30,1999-09-09
17057,Lokesh,Krybus,Staff,1990-06-27,1995-03-20
17079,Boaz,Wrigley,Staff,1997-08-14,1999-09-06
17097,Cathie,Berztiss,Engineer,1985-03-19,1990-03-26
17112,Yuguang,Vickson,Engineer,1992-12-26,1998-07-16
17129,Berthier,Bhattacharjee,Staff,1995-12-14,1997-06-16
17140,Mabhin,Schwabacher,Assistant Engineer,1995-08-10,1998-06-15
17153,Abdulla,Schwartzburd,Staff,1995-09-17,1999-05-07
17154,Aria,Milicia,Staff,1991-01-09,1995-02-05
17162,Jessie,Keohane,Engineer,1991-05-30,1999-02-12
17185,Danai,Wilfing,Senior Staff,1990-11-01,1996-11-24
17196,Quingbo,Fasbender,Senior Engineer,1997-03-15,1997-10-08
17204,Jacqueline,Erdmenger,Senior Staff,1996-02-06,2002-01-01
